,Suite Progress Tracking - Building 2000,,,,,,,,7-Sep-23,,,,
,Suite #,Demising Framing,Demising R/I,Demising Drywall,Partition/Ceiling Framing,Partition/Ceiling R/I,Drywall,Prime,Flooring,Trim,Paint,Millwork,Accessories
Lower Level,,,,,,,,,,,,,
,2103,,,,,,,,,,,,
,2104,,,,,,,,,,,,
,2105,,,,,,,,,,,,
,2106,,,,,,,,,,,,
,2107,,,,,,,,,,,,
,2108,,,,,,,,,,,,
Main Floor,,,,,,,,,,,,,
,2201,,,,,,,,,,,,
,2202,,,,,,,,,,,,
,2203,,,,,,,,,,,,
,2204,,,,,,,,,,,,
,2205,,,,,,,,,,,,
,2206,,,,,,,,,,,,
,2207,,,,,,,,,,,,
,2208,,,,,,,,,,,,
,2209,,,,,,,,,,,,
,2210,,,,,,,,,,,,
,2211,,,,,,,,,,,,
,2212,,,,,,,,,,,,
,2213,,,,,,,,,,,,
,2214,,,,,,,,,,,,
,2215,,,,,,,,,,,,
,2216,,,,,,,,,,,,
,2217,,,,,,,,,,,,
,2218,,,,,,,,,,,,
,2219,,,,,,,,,,,,
,2220,,,,,,,,,,,,
,2221,,,,,,,,,,,,
,2222,,,,,,,,,,,,
,2223,,,,,,,,,,,,
,2224,,,,,,,,,,,,
,2225,,,,,,,,,,,,
Second floor,,,,,,,,,,,,,
,2301,,,,,,,,,,,,
,2302,,,,,,,,,,,,
,2303,,,,,,,,,,,,
,2304,,,,,,,,,,,,
,2305,,,,,,,,,,,,
,2306,,,,,,,,,,,,
,2307,,,,,,,,,,,,
,2308,,,,,,,,,,,,
,2309,,,,,,,,,,,,
,2310,,,,,,,,,,,,
,2311,,,,,,,,,,,,
,2312,,,,,,,,,,,,
,2313,,,,,,,,,,,,
,2314,,,,,,,,,,,,
,2315,,,,,,,,,,,,
,2316,,,,,,,,,,,,
,2317,,,,,,,,,,,,
,2318,,,,,,,,,,,,
,2319,,,,,,,,,,,,
,2320,,,,,,,,,,,,
,2321,,,,,,,,,,,,
,2322,,,,,,,,,,,,
,2323,,,,,,,,,,,,
,2324,,,,,,,,,,,,
,2325,,,,,,,,,,,,
Third Floor,,,,,,,,,,,,,
,2401,,,,,,,,,,,,
,2402,,,,,,,,,,,,
,2403,,,,,,,,,,,,
,2404,,,,,,,,,,,,
,2405,,,,,,,,,,,,
,2406,,,,,,,,,,,,
,2407,,,,,,,,,,,,
,2408,,,,,,,,,,,,
,2409,,,,,,,,,,,,
,2410,,,,,,,,,,,,
,2411,,,,,,,,,,,,
,2412,,,,,,,,,,,,
,2413,,,,,,,,,,,,
,2414,,,,,,,,,,,,
,2415,,,,,,,,,,,,
,2416,,,,,,,,,,,,
,2417,,,,,,,,,,,,
,2418,,,,,,,,,,,,
,2419,,,,,,,,,,,,
,2420,,,,,,,,,,,,
,2421,,,,,,,,,,,,
,2422,,,,,,,,,,,,
,2423,,,,,,,,,,,,
,2424,,,,,,,,,,,,
,2425,,,,,,,,,,,,